command_id,timestamp,zone,cycle_length,green_phase_seconds,offset,status,reason,confirmed,attempt_count,last_error_message
fbc430a6-5945-4512-982e-bc961f22a664,2026-07-07T14:53:37.706359,Zone_1,90.0,45.0,0.0,rejected,Actuation disabled (ACTUATION_ENABLED=False).,,,
f6d73097-1e67-448d-a866-deb4beb578b0,2026-07-07T14:53:37.715823,Zone_1,250.0,100.0,0.0,rejected,Zone 'Zone_1' is under Hajj lockdown — actuation blocked.,,,
eb0cc240-1627-4ec9-a0ac-88a1f9dc3400,2026-07-07T14:53:37.930944,Zone_1,90.0,45.0,0.0,rejected,Zone 'Zone_1' is under Hajj lockdown — actuation blocked.,,,
fc284930-ba32-4e7e-8c56-7a503d38d4cc,2026-07-07T14:53:37.982533,Zone_99,90.0,45.0,0.0,rejected,Unknown zone 'Zone_99'.,,,
12b81a55-e31a-4126-9f00-7f59f9cbc2eb,2026-07-07T14:57:29.924654,Zone_1,90.0,45.0,0.0,rejected,Actuation disabled (ACTUATION_ENABLED=False).,,,
fe019ae2-d85f-4f40-b93e-a36134aeb8ae,2026-07-07T14:57:30.011220,Zone_2,90.0,45.0,0.0,sent,Command transmitted to controller.,,,
d4eb1766-f1fb-4c1a-bf4c-ac3cf2413187,2026-07-07T15:01:32.729067,Zone_1,90.0,45.0,0.0,rejected,Actuation disabled (ACTUATION_ENABLED=False).,,,
6e82dfde-1434-4590-8f84-8d1d640702f2,2026-07-07T15:01:32.740151,Zone_2,250.0,100.0,0.0,rejected,"cycle_length 250s outside allowed range [30, 180].",,,
3e9e516b-9067-41f1-996b-1e66c8ff2af0,2026-07-07T15:01:32.750107,Zone_1,90.0,45.0,0.0,rejected,Zone 'Zone_1' is under Hajj lockdown — actuation blocked.,,,
8d2df089-bded-43af-b94b-ae63f26ac383,2026-07-07T15:01:32.807555,Zone_99,90.0,45.0,0.0,rejected,Unknown zone 'Zone_99'.,,,
522ae283-bcb2-4205-a4b4-a4651e5ed784,2026-07-07T15:05:51.697345,Zone_1,90.0,45.0,0.0,rejected,Actuation disabled (ACTUATION_ENABLED=False).,,,
2d36b6e5-99bc-41ee-b9ef-4feb31e25b60,2026-07-07T15:05:51.776733,Zone_2,90.0,45.0,0.0,sent,Command transmitted to controller.,,,
e617f983-74aa-4199-898b-94305576a63b,2026-07-07T15:35:50.476138,Zone_1,90,45,0.0,rejected,Actuation disabled (ACTUATION_ENABLED=False).,,,
7977703a-51e4-4223-9f0a-557dcda15da5,2026-07-07T15:35:52.543579,Zone_2,250,100,0.0,rejected,"cycle_length 250s outside allowed range [30, 180].",,,
901a4f86-309d-4ec6-8dc9-a7cf2aeb5803,2026-07-07T15:35:52.568981,Zone_1,90,45,0.0,rejected,Zone 'Zone_1' is under Hajj lockdown — actuation blocked.,,,
bc2a9c3b-5063-450b-85c4-57c373afe278,2026-07-07T15:35:52.630497,Zone_99,90,45,0.0,rejected,Unknown zone 'Zone_99'.,,,
0cd568b2-e7a2-42a8-ae4d-726832a26cc7,2026-07-07T15:39:47.748485,Zone_1,90.0,45.0,0.0,rejected,Actuation disabled (ACTUATION_ENABLED=False).,,,
dca938ea-bd29-40c9-b370-3f6b8d36542f,2026-07-07T15:39:47.862711,Zone_2,90.0,45.0,0.0,sent,Command transmitted to controller.,,,
a2c4bb48-55ec-48b8-8a31-f937bf21985f,2026-07-07T15:39:54.410303,Zone_4,90.0,45.0,0.0,sent,Command transmitted to controller.,,,
dd651662-3e4a-4aad-9dca-e82890df7cbe,2026-07-07T17:15:36.979822,Zone_1,90,45,0.0,rejected,Actuation disabled (ACTUATION_ENABLED=False).,,,
3956eccd-7efa-4463-a0a8-c56d1f919577,2026-07-07T17:15:36.989349,Zone_2,250,100,0.0,rejected,"cycle_length 250s outside allowed range [30, 180].",,,
19978734-0914-4421-a6f8-896e075de348,2026-07-07T17:15:37.023879,Zone_1,90,45,0.0,rejected,Zone 'Zone_1' is under Hajj lockdown — actuation blocked.,,,
490ede82-96c8-472f-8756-6d2d191c9756,2026-07-07T17:15:37.108157,Zone_99,90,45,0.0,rejected,Unknown zone 'Zone_99'.,,,
032c38ac-8485-48bc-a8f2-d14185d15433,2026-07-07T17:19:46.769429,Zone_1,90.0,45.0,0.0,rejected,Actuation disabled (ACTUATION_ENABLED=False).,,,
2f06aa43-82b6-45b0-85d1-345aa67cfe5d,2026-07-07T17:19:46.865869,Zone_2,90.0,45.0,0.0,sent,Command transmitted to controller.,,,
8e01d667-0977-4389-a30b-c62d588d1c6a,2026-07-07T17:19:48.856848,Zone_4,90.0,45.0,0.0,sent,Command transmitted to controller.,,,
